0.25	0.25	0.23	0.27	0	0	0	0	0	0	0	0	0	0	0
0.21	0.26	0.26	0.23	0	0	0	0.04	0	0	0	0	0	0	0
0.20	0.27	0.28	0.24	0	0	0	0	0	0	0	0.01	0	0	0
0.29	0.26	0.16	0.25	0.04	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0.36	0.32	0.32	0	0	0	0	0	0	0	0
0	0	0	0	0.64	0.12	0.24	0	0	0	0	0	0	0	0
0	0	0	0	0.76	0.12	0.12	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0.12	0.0	0.64	0.24	0	0	0	0
0	0	0	0	0	0	0	0.24	0.24	0.52	0.0	0	0	0	0
0	0	0	0	0	0	0	0.35	0.23	0.28	0.14	0	0	0	0
0	0	0	0	0	0	0	0.24	0.0	0.52	0.24	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0.23	0.22	0.21	0.34
0	0	0	0	0	0	0	0	0	0	0	0.52	0.12	0.36	0.0
0	0	0	0	0	0	0	0	0	0	0	0.4	0.24	0.24	0.12
0	0	0	0	0	0	0	0	0	0	0	0.52	0.24	0.0	0.24
